folder_id,success,returncode,company,site,assessment_date,method,assessor,weak_metadata,started_at,error_tail
1X2eqi632J9O5E7SVBUUBBHWC2BkBgMzp,True,0,Mersey Seafoods,IMG_2309 - 21fca,Not specified,REBA (Rapid Entire Body Assessment),Vergo Ergonomics Team,assessment_date,2026-05-26T21:31:59,
1H_FofaIe0ToE_yU75QHSedd5-lk8HFQN,True,0,Mersey Seafoods,IMG_2315 - ac512,Not specified,REBA (Rapid Entire Body Assessment),Vergo Ergonomics Team,assessment_date,2026-05-26T21:32:58,
1qgBGWwwN-l9aEAG8YDW0v_xnjrvQdMPk,True,0,Mersey Seafoods,IMG_2316 - 772c7,Not specified,REBA (Rapid Entire Body Assessment),Vergo Ergonomics Team,assessment_date,2026-05-26T21:33:31,
16wiM21du3sKDH4n9aAEzxwxxtifOTOoD,True,0,Mersey Seafoods,IMG_2319 - 66679,Not specified,REBA (Rapid Entire Body Assessment),Vergo Ergonomics Team,assessment_date,2026-05-26T21:34:04,
19QXYO561yoA1LRTvi-zcjF5wblfFFoJM,True,0,Mersey Seafoods,IMG_2323 - 4a649,Not specified,REBA (Rapid Entire Body Assessment),Vergo Ergonomics Team,assessment_date,2026-05-26T21:34:47,
1ZBVtIRDYpIJgA6vt41t86vXxepog7v55,True,0,Mersey Seafoods,IMG_5418 - b3b8b,Not specified,REBA (Rapid Entire Body Assessment),Vergo Ergonomics Team,assessment_date,2026-05-26T21:35:17,
1LEEn0GeKjqBlMcQ51xgpiyeFx9uy3MJ-,True,0,Mersey Seafoods,IMG_5484 - 88d87,Not specified,REBA (Rapid Entire Body Assessment),Vergo Ergonomics Team,assessment_date,2026-05-26T21:35:51,
11YaEadJ8qXfR1MBpwT4a-vsUnPzrkwm9,True,0,Mersey Seafoods,IMG_5505 - 74a48,Not specified,REBA (Rapid Entire Body Assessment),Vergo Ergonomics Team,assessment_date,2026-05-26T21:36:19,
1E7hPhaOXRYLDDCWK5zebaRTFDsM4qvw_,True,0,Mersey Seafoods,IMG_5506 - 5f849,Not specified,REBA (Rapid Entire Body Assessment),Vergo Ergonomics Team,assessment_date,2026-05-26T21:36:47,
1jljWye7mha2cvqDPY8QzU8yuFHDKQSqf,True,0,Mersey Seafoods,IMG_5507 - f2efc,Not specified,REBA (Rapid Entire Body Assessment),Vergo Ergonomics Team,assessment_date,2026-05-26T21:37:23,
